	pair	relatedness	second_guess	loglik_ratio	withinDeg_second_guess	withinDeg_ll
1375	KFP014_KFP103	un	deg3	17.773414729454316		
1376	KFP014_KFP104	un	deg3	20.786000119055416		
1377	KFP014_KFP105	un	deg3	22.311191859485007		
1378	KFP014_KFP106	un	deg3	15.42556869599366		
1379	KFP015_KFP016	un	deg3	18.9032968518311		
1380	KFP015_KFP017	un	deg3	22.03978748440977		
1381	KFP015_KFP018	un	deg3	24.364005708451714		
1382	KFP015_KFP019	un	deg3	22.421231241427225		
1383	KFP015_KFP020	un	deg3	17.857928254320996		
1384	KFP015_KFP021	un	deg3	23.822026254142656		
1385	KFP015_KFP022	un	deg3	20.167121076317468		
1386	KFP015_KFP023	un	deg3	20.843690136316578		
1387	KFP015_KFP024	un	deg3	22.530034091487774		
1388	KFP015_KFP025	un	deg3	23.82582289421657		
1389	KFP015_KFP026	un	deg3	19.745630940828725		
1390	KFP015_KFP027	un	deg3	21.25491376979721		
1391	KFP015_KFP028	un	deg3	21.422927581815888		
1392	KFP015_KFP029	un	deg3	18.370153916070194		
1393	KFP015_KFP030	un	deg3	23.074319872064052		
1394	KFP015_KFP031	un	deg3	22.802918615095223		
1395	KFP015_KFP032	un	deg3	23.80131313390893		
1396	KFP015_KFP033	un	deg3	22.303966835102763		
1397	KFP015_KFP034	un	deg3	18.51184851295352		
1398	KFP015_KFP035	un	deg3	19.355118539004934		
1399	KFP015_KFP036	un	deg3	22.174806972646817		
1400	KFP015_KFP037	un	deg3	22.12692940911961		
1401	KFP015_KFP038	un	deg3	19.30239095998502		
1402	KFP015_KFP039	un	deg3	21.712135590444632		
1403	KFP015_KFP040	un	deg3	20.469990182200267		
1404	KFP015_KFP041	un	deg3	21.530851198638853		
1405	KFP015_KFP042	un	deg3	21.956563179970768		
1406	KFP015_KFP043	un	deg3	23.491722484608545		
1407	KFP015_KFP044	un	deg3	23.288863706036864		
1408	KFP015_KFP045	un	deg3	23.61612180286966		
