	pair	relatedness	second_guess	loglik_ratio	withinDeg_second_guess	withinDeg_ll
417	RKF170_RKF219	deg3	un	3.16036957777533		
418	RKF171_RKF172	deg3	un	0.251473522556353		
419	RKF171_RKF174	deg3	un	0.104302101455943		
420	RKF171_RKF211	deg3	un	0.164280228112318		
421	RKF171_RKO003	deg3	un	0.253849799733302		
422	RKF171_RKO004	deg3	un	0.12735548342107		
423	RKF176_RKF201	deg3	un	2.74051223317952		
424	RKF178_RKF220	deg3	un	1.77409041203373		
425	RKF182_RKF196	deg3	un	0.650608510346729		
426	RKF182_RKF201	deg3	un	1.16564357644825		
427	RKF186_RKF220	deg3	sec	5.12596995450463		
428	RKF191_RKF209	deg3	un	1.8356707229018		
429	RKF191_RKF218	deg3	un	0.675004632027139		
430	RKF198_RKF209	deg3	un	1.14442027874361		
431	RKF204_RKF225	deg3	un	0.154049874721238		
432	RKF205_RKF225	deg3	un	0.564188748631125		
433	RKF210_RKF219	deg3	sec	4.28440722233722		
434	RKF001_RKF171	id	sib	0.091233669246563		
435	RKF017_RKF035	id	sib	141.472617106653		
436	RKF030_RKF215	id	sib	109.740711224731		
437	RKF058_RKF085	id	sib	0.131434786770683		
438	RKF075_RKF097	id	pc	0.523143365466815		
439	RKF111_RKF123	id	sib	0.297908604688962		
440	RKF123_RKF167	id	sib	0.709966435836485		
441	RKC002_RKC033	pc	sec	38.3120596018123	sib	74.4768930888934
442	RKC005_RKC012	pc	sec	32.4131019690806	sib	66.5429959195938
443	RKC007_RKC008	pc	sec	39.3587690256515	sib	79.2437987163696
444	RKC007_RKC009	pc	sec	37.6139165478935	sib	80.1110775539075
445	RKC008_RKC021	pc	sec	41.867134422816	sib	80.3394299770628
446	RKC009_RKC018	pc	sec	35.9711162676508	sib	75.3646467229744
447	RKC010_RKC027	pc	sec	40.7417608369565	sib	83.7371163264691
448	RKC011_RKC027	pc	sec	37.5450865306852	sib	80.5765923437957
449	RKC011_RKC028	pc	sec	40.7411731857451	sib	83.0724464619343
450	RKC011_RKC029	pc	sec	39.4867577994764	sib	82.822078666956
451	RKC011_RKC044	pc	sec	36.9910835915382	sib	74.2400182906783
452	RKC012_RKC024	pc	sec	40.1249449554116	sib	83.3806293509185
453	RKC013_RKC029	pc	sec	42.3185370469291	sib	80.4635068159907
