id	relatedness	relatedindividualID
RKF073	deg3	RKF001;RKF075(0.00);RKF079(0.78);RKF082(0.23);RKF119(0.18);RKF123(0.15);RKF128(0.21);RKF164(2.44)
RKF073	id	
RKF073	pc	RKF148(34.69);RKF207(30.59)
RKF073	sec	RKF064;RKF136(5.68);RKF182(7.75);RKF185(7.89)
RKF073	sib	RKF147(33.11);RKF226(30.76)
RKF074	deg3	RKF171(0.17)
RKF074	id	
RKF074	pc	RKF227(37.56)
RKF074	sec	
RKF074	sib	
RKF075	deg3	RKF005;RKF038;RKF056;RKF073;RKF107(0.13);RKF113(0.08);RKF161(0.01);RKF162(0.06);RKF174(0.02);RKF203(0.02);RKF224(0.06);RKF227(0.00)
RKF075	id	RKF097(0.52)
RKF075	pc	RKF114(1.00);RKF149(0.42)
RKF075	sec	RKF009;RKF012;RKF048;RKF071;RKF087(0.09);RKF093(0.04);RKF146(0.04)
RKF075	sib	RKF059;RKF068;RKF128(0.08)
RKF076	deg3	RKF114(5.45);RKF220(4.93)
RKF076	id	
RKF076	pc	RKF060;RKF178(34.43);RKF186(39.96)
RKF076	sec	RKF080(11.30);RKF193(8.04)
RKF076	sib	
RKF077	deg3	RKF109(0.98);RKF113(0.63);RKF117(0.25);RKF129(1.07);RKF182(4.21);RKF195(0.88);RKF225(0.91)
RKF077	id	
RKF077	pc	RKF053;RKF124(37.38);RKF126(37.13);RKF196(35.00)
RKF077	sec	RKF110(6.73);RKF121(9.36);RKF194(7.73)
RKF077	sib	
RKF078	deg3	
RKF078	id	
RKF078	pc	RKF193(41.97)
RKF078	sec	RKF114(4.84)
RKF078	sib	
RKF079	deg3	RKF073;RKF123(0.02);RKF148(0.08);RKF226(4.18)
RKF079	id	
RKF079	pc	RKF064
RKF079	sec	RKF058;RKF111(0.13);RKF136(1.87);RKF147(5.92)
RKF079	sib	
RKF080	deg3	RKF193(1.87)
RKF080	id	
RKF080	pc	
RKF080	sec	RKF060;RKF076;RKF178(4.23);RKF186(9.01);RKF220(6.81)
RKF080	sib	
RKF081	deg3	RKC021;RKF068;RKF104(5.64);RKF163(1.25);RKF164(0.16);RKF181(2.85);RKF192(1.58)
RKF081	id	
RKF081	pc	RKF061;RKF180(35.42)
RKF081	sec	RKF056;RKF088(2.20);RKF098(12.34);RKF131(13.05)
RKF081	sib	RKF145(60.56)
RKF082	deg3	RKF012;RKF068;RKF073;RKF146(0.26);RKF149(0.12)
RKF082	id	
RKF082	pc	
RKF082	sec	RKF085(0.07);RKF167(0.14)
RKF082	sib	RKF123(0.04)
RKF083	deg3	RKF221(3.74)
RKF083	id	
RKF083	pc	RKF114(30.25)
RKF083	sec	
RKF083	sib	
RKF085	deg3	RKF068;RKF086(0.01);RKF094(0.16);RKF096(0.59);RKF119(0.04);RKF126(0.25);RKF130(0.31);RKF146(0.61);RKF149(0.16);RKF166(0.14);RKF227(0.49)
RKF085	id	RKF058
RKF085	pc	
RKF085	sec	RKF001;RKF022;RKF060;RKF082;RKF225(0.22)
RKF085	sib	RKF123(0.16);RKF171(0.12)
RKF086	deg3	RKC005;RKF056;RKF085;RKF097(0.43);RKF119(0.09)
RKF086	id	
RKF086	pc	
RKF086	sec	RKF058
RKF086	sib	RKF171(0.15)
RKF087	deg3	RKF050;RKF071
RKF087	id	
RKF087	pc	
RKF087	sec	RKF052;RKF075;RKF173(6.57);RKF175(6.55)
RKF087	sib	RKF172(39.38)
RKF088	deg3	RKC009;RKF056;RKF098(5.45);RKF121(1.38);RKF131(4.02);RKF164(2.93);RKF194(2.90);RKF195(1.59)
RKF088	id	
RKF088	pc	RKC021;RKF128(23.95)
RKF088	sec	RKC008;RKC018;RKF061;RKF081;RKF145(10.50);RKF180(6.75)
RKF088	sib	
RKF089	deg3	
RKF089	id	
RKF089	pc	RKF093(36.84)
RKF089	sec	
